Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29583342,12/26/2014 07:55:29 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10036,200 WEST 44 STREET,WEST 44 STREET,7 AVENUE,SHUBERT ALLEY,,,ADDRESS,NEW YORK,,N/A,Open,02/09/2015 07:55:29 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/29/2014 04:40:08 PM,05 MANHATTAN,MANHATTAN,988076,215220,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75740484820136,-73.9861898231223,"(40.75740484820136, -73.9861898231223)"
29570886,12/24/2014 11:27:11 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,235 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 19 STREET,EAST 20 STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/07/2015 11:27:11 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/29/2014 04:20:33 PM,05 MANHATTAN,MANHATTAN,987547,208082,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73781304592055,-73.98810277971928,"(40.73781304592055, -73.98810277971928)"
29573673,12/24/2014 03:46:09 PM,12/26/2014 09:43:34 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10014,260 AVENUE OF AMERICAS,AVENUE OF AMERICAS,BEDFORD STREET,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/07/2015 03:46:09 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/26/2014 09:43:34 AM,02 MANHATTAN,MANHATTAN,983566,204908,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72910178456737,-74.00246789046147,"(40.72910178456737, -74.00246789046147)"
29567954,12/23/2014 06:26:07 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10019,150 WEST 57 STREET,WEST 57 STREET,6 1/2 AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,02/06/2015 06:26:07 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/29/2014 02:16:18 PM,05 MANHATTAN,MANHATTAN,989998,218051,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76517417532508,-73.97924982824527,"(40.76517417532508, -73.97924982824527)"
29557327,12/22/2014 11:56:39 AM,12/24/2014 01:11:24 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10009,27 AVENUE B,AVENUE B,EAST 2 STREET,EAST 3 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/05/2015 11:56:39 AM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,12/24/2014 01:11:24 PM,03 MANHATTAN,MANHATTAN,988913,202454,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.722364948394684,-73.98317747072308,"(40.722364948394684, -73.98317747072308)"
29561656,12/22/2014 10:18:27 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10013,61 MOTT STREET,MOTT STREET,BAYARD STREET,CANAL STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/05/2015 10:18:27 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/24/2014 01:09:11 PM,03 MANHATTAN,MANHATTAN,984722,200123,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71596813055282,-73.99829734683368,"(40.71596813055282, -73.99829734683368)"
29562684,12/22/2014 09:54:04 AM,12/23/2014 04:45:34 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10036,1221 AVENUE OF AMERICAS,AVENUE OF AMERICAS,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/05/2015 09:54:04 AM,The Department of Health and Mental Hygiene has contacted you and is acting on the information provided.,12/23/2014 04:45:34 PM,05 MANHATTAN,MANHATTAN,989199,215838,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.759100542939876,-73.98213583232855,"(40.759100542939876, -73.98213583232855)"
29561522,12/22/2014 09:00:05 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10075,1491 2 AVENUE,2 AVENUE,EAST 77 STREET,EAST 78 STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/05/2015 09:00:05 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/24/2014 01:08:03 PM,08 MANHATTAN,MANHATTAN,996514,220700,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77243835311453,-73.95572236018138,"(40.77243835311453, -73.95572236018138)"
29560482,12/22/2014 02:26:35 AM,12/24/2014 01:01:32 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10036,30 WEST 48 STREET,WEST 48 STREET,ROCKEFELLER PLAZA,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,01/05/2015 02:26:35 AM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,12/24/2014 01:01:32 PM,05 MANHATTAN,MANHATTAN,989862,215424,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75796382286164,-73.9797429787249,"(40.75796382286164, -73.9797429787249)"
29547512,12/20/2014 08:13:20 PM,12/22/2014 09:43:54 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10075,1477 YORK AVENUE,YORK AVENUE,EAST 78 STREET,EAST 79 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/03/2015 08:13:20 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/22/2014 09:43:54 AM,08 MANHATTAN,MANHATTAN,997881,220148,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77092125520975,-73.95078809807279,"(40.77092125520975, -73.95078809807279)"
29531542,12/18/2014 06:47:27 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10016,538 2 AVENUE,2 AVENUE,EAST 29 STREET,EAST 30 STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/01/2015 06:47:27 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/19/2014 02:53:16 PM,06 MANHATTAN,MANHATTAN,990409,209650,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.742115286292346,-73.97777382107721,"(40.742115286292346, -73.97777382107721)"
29524480,12/17/2014 06:33:30 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10016,493 2 AVENUE,2 AVENUE,EAST 27 STREET,EAST 28 STREET,,,ADDRESS,NEW YORK,,N/A,Open,01/31/2015 06:33:30 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/19/2014 02:25:46 PM,06 MANHATTAN,MANHATTAN,990124,209165,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.740784275978534,-73.97880273311988,"(40.740784275978534, -73.97880273311988)"
29523603,12/17/2014 12:09:58 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10022,825 THIRD AVENUE,THIRD AVENUE,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,01/31/2015 12:09:58 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/18/2014 12:51:27 PM,06 MANHATTAN,MANHATTAN,992514,214612,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75573300905566,-73.97017134369025,"(40.75573300905566, -73.97017134369025)"
29523065,12/17/2014 09:57:13 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10021,1306 FIRST AVENUE,FIRST AVENUE,EAST 70 STREET,EAST 71 STREET,,,ADDRESS,NEW YORK,,N/A,Open,01/31/2015 09:57:13 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/24/2014 11:48:33 AM,08 MANHATTAN,MANHATTAN,996213,218599,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76667206793461,-73.95681282264998,"(40.76667206793461, -73.95681282264998)"
29524529,12/17/2014 08:19:04 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10002,41 MONROE STREET,MONROE STREET,CATHERINE STREET,MARKET STREET,,,ADDRESS,NEW YORK,,N/A,Open,01/29/2015 08:39:45 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/16/2014 02:33:28 PM,03 MANHATTAN,MANHATTAN,985768,198523,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7115763946833,-73.99452445505132,"(40.7115763946833, -73.99452445505132)"
29518609,12/16/2014 02:32:12 PM,12/18/2014 03:00:03 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10016,735 2 AVENUE,2 AVENUE,EAST 39 STREET,EAST 40 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,12/30/2014 02:32:12 PM,The Department of Health and Mental Hygiene has contacted you and is acting on the information provided.,12/18/2014 03:00:03 PM,06 MANHATTAN,MANHATTAN,991620,211872,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.748213193273195,-73.97340121232159,"(40.748213193273195, -73.97340121232159)"
29512187,12/15/2014 01:41:49 PM,12/17/2014 12:07:53 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,55 5 AVENUE,5 AVENUE,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,12/29/2014 01:41:49 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/17/2014 12:07:53 PM,02 MANHATTAN,MANHATTAN,985796,207012,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73487663965178,-73.99442150683944,"(40.73487663965178, -73.99442150683944)"
29506205,12/15/2014 08:57:50 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10019,854 7 AVENUE,7 AVENUE,WEST 54 STREET,WEST 55 STREET,,,ADDRESS,NEW YORK,,N/A,Open,01/29/2015 08:57:50 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/17/2014 10:49:21 AM,05 MANHATTAN,MANHATTAN,989485,217648,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.764068363050036,-73.98110206238286,"(40.764068363050036, -73.98110206238286)"
29513156,12/15/2014 08:39:45 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10002,41 MONROE STREET,MONROE STREET,CATHERINE STREET,MARKET STREET,,,ADDRESS,NEW YORK,,N/A,Open,01/29/2015 08:39:45 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/16/2014 02:33:28 PM,03 MANHATTAN,MANHATTAN,985768,198523,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7115763946833,-73.99452445505132,"(40.7115763946833, -73.99452445505132)"
